pixelIdx,BP_ROW1_FOV1_wavelength_nm,BP_ROW1_FOV1_sampling_nm/pix,BP_ROW1_FOV2_wavelength_nm,BP_ROW1_FOV2_sampling_nm/pix,BP_ROW2_FOV1_wavelength_nm,BP_ROW2_FOV1_sampling_nm/pix,BP_ROW2_FOV2_wavelength_nm,BP_ROW2_FOV2_sampling_nm/pix,BP_ROW3_FOV1_wavelength_nm,BP_ROW3_FOV1_sampling_nm/pix,BP_ROW3_FOV2_wavelength_nm,BP_ROW3_FOV2_sampling_nm/pix,BP_ROW4_FOV1_wavelength_nm,BP_ROW4_FOV1_sampling_nm/pix,BP_ROW4_FOV2_wavelength_nm,BP_ROW4_FOV2_sampling_nm/pix,BP_ROW5_FOV1_wavelength_nm,BP_ROW5_FOV1_sampling_nm/pix,BP_ROW5_FOV2_wavelength_nm,BP_ROW5_FOV2_sampling_nm/pix,BP_ROW6_FOV1_wavelength_nm,BP_ROW6_FOV1_sampling_nm/pix,BP_ROW6_FOV2_wavelength_nm,BP_ROW6_FOV2_sampling_nm/pix,BP_ROW7_FOV1_wavelength_nm,BP_ROW7_FOV1_sampling_nm/pix,BP_ROW7_FOV2_wavelength_nm,BP_ROW7_FOV2_sampling_nm/pix,RP_ROW1_FOV1_wavelength_nm,RP_ROW1_FOV1_sampling_nm/pix,RP_ROW1_FOV2_wavelength_nm,RP_ROW1_FOV2_sampling_nm/pix,RP_ROW2_FOV1_wavelength_nm,RP_ROW2_FOV1_sampling_nm/pix,RP_ROW2_FOV2_wavelength_nm,RP_ROW2_FOV2_sampling_nm/pix,RP_ROW3_FOV1_wavelength_nm,RP_ROW3_FOV1_sampling_nm/pix,RP_ROW3_FOV2_wavelength_nm,RP_ROW3_FOV2_sampling_nm/pix,RP_ROW4_FOV1_wavelength_nm,RP_ROW4_FOV1_sampling_nm/pix,RP_ROW4_FOV2_wavelength_nm,RP_ROW4_FOV2_sampling_nm/pix,RP_ROW5_FOV1_wavelength_nm,RP_ROW5_FOV1_sampling_nm/pix,RP_ROW5_FOV2_wavelength_nm,RP_ROW5_FOV2_sampling_nm/pix,RP_ROW6_FOV1_wavelength_nm,RP_ROW6_FOV1_sampling_nm/pix,RP_ROW6_FOV2_wavelength_nm,RP_ROW6_FOV2_sampling_nm/pix,RP_ROW7_FOV1_wavelength_nm,RP_ROW7_FOV1_sampling_nm/pix,RP_ROW7_FOV2_wavelength_nm,RP_ROW7_FOV2_sampling_nm/pix
48,344.57,3.57,344.70,3.57,343.52,3.59,343.62,3.59,342.48,3.61,342.54,3.61,341.44,3.63,341.47,3.63,340.41,3.65,340.41,3.65,339.38,3.67,339.35,3.67,338.36,3.69,338.29,3.69,1021.10,14.22,1021.09,14.22,1026.28,14.58,1026.29,14.58,1031.06,14.91,1031.10,14.91,1035.38,15.20,1035.44,15.21,1039.16,15.47,1039.25,15.47,1042.35,15.69,1042.47,15.70,1044.90,15.86,1045.04,15.87
49,341.06,3.44,341.20,3.44,339.99,3.46,340.09,3.46,338.93,3.48,339.00,3.48,337.87,3.50,337.91,3.50,336.83,3.52,336.82,3.52,335.78,3.54,335.75,3.54,334.75,3.55,334.67,3.55,1035.41,14.41,1035.40,14.41,1040.96,14.77,1040.97,14.77,1046.07,15.11,1046.11,15.11,1050.69,15.41,1050.75,15.41,1054.73,15.68,1054.83,15.68,1058.15,15.90,1058.27,15.91,1060.87,16.08,1061.02,16.09
50,337.68,3.33,337.81,3.33,336.59,3.35,336.69,3.34,335.51,3.36,335.58,3.36,334.44,3.38,334.47,3.38,333.37,3.39,333.37,3.39,332.31,3.41,332.27,3.41,331.26,3.42,331.19,3.42,1049.91,14.59,1049.90,14.59,1055.82,14.96,1055.83,14.96,1061.28,15.30,1061.32,15.30,1066.20,15.61,1066.27,15.62,1070.51,15.88,1070.61,15.89,1074.15,16.10,1074.28,16.11,1077.06,16.28,1077.22,16.28
51,334.40,3.22,334.54,3.22,333.30,3.23,333.41,3.23,332.20,3.25,332.27,3.25,331.12,3.26,331.15,3.26,330.04,3.28,330.03,3.28,328.96,3.29,328.92,3.29,327.90,3.30,327.82,3.31,1064.59,14.77,1064.58,14.77,1070.88,15.15,1070.89,15.15,1076.67,15.48,1076.72,15.48,1081.90,15.76,1081.98,15.76,1086.47,15.98,1086.58,15.99,1090.31,16.17,1090.45,16.17,1093.37,16.31,1093.54,16.32
52,331.24,3.11,331.38,3.11,330.12,3.13,330.23,3.13,329.01,3.14,329.08,3.14,327.91,3.15,327.94,3.15,326.82,3.17,326.81,3.17,325.73,3.18,325.69,3.18,324.65,3.19,324.57,3.19,1079.46,14.92,1079.44,14.92,1086.09,15.24,1086.10,15.24,1092.19,15.52,1092.23,15.52,1097.67,15.77,1097.75,15.77,1102.45,15.98,1102.56,15.99,1106.48,16.17,1106.62,16.17,1109.68,16.31,1109.86,16.32
53,328.18,3.01,328.32,3.01,327.05,3.03,327.15,3.02,325.92,3.04,325.99,3.04,324.81,3.05,324.84,3.05,323.70,3.06,323.70,3.06,322.61,3.07,322.57,3.07,321.52,3.08,321.44,3.08,1094.39,14.94,1094.37,14.94,1101.33,15.24,1101.34,15.24,1107.71,15.52,1107.75,15.52,1113.43,15.77,1113.51,15.77,1118.44,15.98,1118.55,15.99,1122.64,16.17,1122.79,16.17,1125.99,16.31,1126.18,16.32
54,325.21,2.92,325.36,2.92,324.07,2.93,324.18,2.93,322.93,2.94,323.01,2.94,321.81,2.95,321.84,2.95,320.69,2.96,320.69,2.96,319.58,2.97,319.54,2.97,318.48,2.98,318.41,2.98,1109.33,14.94,1109.31,14.94,1116.57,15.24,1116.58,15.24,1123.22,15.52,1123.27,15.52,1129.20,15.77,1129.28,15.77,1134.42,15.98,1134.54,15.99,1138.81,16.17,1138.97,16.17,1142.30,16.31,1142.49,16.32
55,322.34,2.83,322.48,2.83,321.18,2.84,321.29,2.84,320.04,2.85,320.11,2.85,318.90,2.86,318.94,2.86,317.78,2.87,317.77,2.87,316.66,2.88,316.62,2.88,315.55,2.89,315.47,2.89,1124.27,14.94,1124.25,14.94,1131.81,15.24,1131.82,15.24,1138.74,15.52,1138.79,15.52,1144.97,15.77,1145.05,15.77,1150.40,15.98,1150.53,15.99,1154.98,16.17,1155.14,16.17,1158.61,16.31,1158.81,16.32
56,319.55,2.74,319.70,2.74,318.39,2.75,318.50,2.75,317.23,2.76,317.31,2.76,316.09,2.77,316.12,2.77,314.95,2.78,314.95,2.78,313.83,2.79,313.79,2.79,312.71,2.79,312.63,2.79,1139.21,14.94,1139.18,14.94,1147.05,15.24,1147.06,15.24,1154.26,15.52,1154.31,15.52,1160.73,15.77,1160.82,15.77,1166.39,15.98,1166.52,15.99,1171.14,16.17,1171.31,16.17,1174.92,16.31,1175.13,16.32
57,316.85,2.66,317.00,2.66,315.68,2.67,315.79,2.67,314.51,2.68,314.59,2.68,313.36,2.69,313.40,2.69,312.22,2.69,312.21,2.69,311.08,2.70,311.04,2.70,309.96,2.71,309.88,2.71,1154.14,14.94,1154.12,14.94,1162.29,15.24,1162.30,15.24,1169.77,15.52,1169.83,15.52,1176.50,15.77,1176.59,15.77,1182.37,15.98,1182.51,15.99,1187.31,16.17,1187.48,16.17,1191.24,16.31,1191.45,16.32
58,314.23,2.59,314.38,2.59,313.04,2.59,313.16,2.59,311.87,2.60,311.95,2.60,310.71,2.61,310.75,2.61,309.56,2.61,309.56,2.61,308.42,2.62,308.38,2.62,307.29,2.63,307.21,2.63,1169.08,14.94,1169.06,14.94,1177.53,15.24,1177.54,15.24,1185.29,15.52,1185.35,15.52,1192.26,15.77,1192.36,15.77,1198.35,15.98,1198.49,15.99,1203.47,16.17,1203.66,16.17,1207.55,16.31,1207.77,16.32
59,311.68,2.51,311.83,2.51,310.49,2.52,310.60,2.52,309.31,2.53,309.39,2.52,308.15,2.53,308.18,2.53,306.99,2.54,306.99,2.54,305.84,2.54,305.80,2.54,304.71,2.55,304.63,2.55,1184.02,14.94,1184.00,14.94,1192.77,15.24,1192.78,15.24,1200.81,15.52,1200.86,15.52,1208.03,15.77,1208.13,15.77,1214.34,15.98,1214.48,15.99,1219.64,16.17,1219.83,16.17,1223.86,16.31,1224.09,16.32
